scenario_id,terrain_type,response_budget,advantage,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_quality_spread,n_pareto_optimal
air-defense-127,air_defense,1,0.4858103608770966,0.2787585564916135,0.805,0.0,0.0,1
air-defense-127,air_defense,2,0.4858103608770966,0.2787585564916135,0.805,0.8,0.17195494067946404,1
air-defense-127,air_defense,4,0.4858103608770966,0.2787585564916135,0.805,0.6,0.18810605377878759,1
air-defense-127,air_defense,8,0.4858103608770966,0.2787585564916135,0.805,0.6130952380952381,0.21738150629385333,2
air-defense-127,air_defense,16,0.4709255544729207,0.3382977821083172,0.85,0.6413888888888888,0.276920731910557,1
humanitarian-evacuation-128,urban_humanitarian,1,0.4819442375060252,0.2712230499758992,1.0,0.0,0.0,1
humanitarian-evacuation-128,urban_humanitarian,2,0.4819442375060252,0.2712230499758992,1.0,0.6,0.12104061831438345,1
humanitarian-evacuation-128,urban_humanitarian,4,0.4819442375060252,0.2712230499758992,1.0,0.5305555555555556,0.25548167437658753,1
humanitarian-evacuation-128,urban_humanitarian,8,0.47876460800591913,0.28394156797632353,1.0,0.5035714285714287,0.26820019237701187,1
humanitarian-evacuation-128,urban_humanitarian,16,0.47480210206819196,0.2997915917272323,0.9550000000000001,0.5020833333333331,0.3197075678551192,2
urban-127,urban,1,0.5652842801303103,0.051354902059935065,0.77,0.0,0.0,1
urban-127,urban,2,0.5066838989036466,0.28575642696658987,0.77,1.0,0.2344015249066548,1
urban-127,urban,4,0.5066838989036466,0.28575642696658987,0.77,0.8611111111111112,0.2636279332465829,2
urban-127,urban,8,0.5004257741072968,0.31078892615198905,0.725,0.8392857142857142,0.2886604324319821,3
urban-127,urban,16,0.5004257741072968,0.31078892615198905,0.725,0.793055555555556,0.2886604324319821,3
maritime-128,maritime,1,0.5398563280889085,0.072574687644366,0.805,0.0,0.0,1
maritime-128,maritime,2,0.49261055056692205,0.26155779773231175,0.805,0.75,0.18898311008794574,1
maritime-128,maritime,4,0.49261055056692205,0.26155779773231175,0.805,0.6944444444444445,0.18898311008794574,1
maritime-128,maritime,8,0.49261055056692205,0.26155779773231175,0.805,0.6458333333333334,0.20097221226973727,1
maritime-128,maritime,16,0.47515196787784475,0.331392128488621,0.665,0.6559722222222221,0.2708065430260465,2
multi-domain-129,mixed,1,0.5536491153263426,0.072574687644366,0.805,0.0,0.0,1
multi-domain-129,mixed,2,0.5064033378043562,0.26155779773231175,0.805,0.75,0.18898311008794574,1
multi-domain-129,mixed,4,0.5064033378043562,0.26155779773231175,0.805,0.6944444444444445,0.18898311008794574,1
multi-domain-129,mixed,8,0.5064033378043562,0.26155779773231175,0.805,0.6458333333333334,0.20097221226973727,1
multi-domain-129,mixed,16,0.48894475511527885,0.331392128488621,0.665,0.6559722222222221,0.2708065430260465,2
air-defense-130,air_defense,1,0.5683943650344645,-0.0515774601378579,0.85,0.0,0.0,1
air-defense-130,air_defense,2,0.5102277403786224,0.1810890384855106,0.805,0.8333333333333334,0.23266649862336852,2
air-defense-130,air_defense,4,0.5056698548173153,0.19932058073073872,0.62,0.6833333333333335,0.25089804086859663,3
air-defense-130,air_defense,8,0.49996457343467227,0.222141706261311,0.76,0.6297619047619049,0.2737191663991689,3
air-defense-130,air_defense,16,0.4781209234468486,0.30951630621260573,0.805,0.6030555555555553,0.36109376635046364,2
humanitarian-evacuation-131,urban_humanitarian,1,0.4783108932583525,0.28575642696658987,1.0,0.0,0.0,1
humanitarian-evacuation-131,urban_humanitarian,2,0.4783108932583525,0.28575642696658987,1.0,0.8333333333333334,0.20780797650971303,1
